题目(title),网址(url),播放量(play_count),弹幕(danmu),上传时间(upload_date),作者UP主(author),UP主个人界面(author_url)
央视《新闻联播》、人民日报、新华社、CNN等国内外多家媒体浓墨重彩报道2021年生态文明贵阳国际论坛,//www.bilibili.com/video/BV1dX4y1w771?from=search,104,0,2021-07-15,很贵州,//space.bilibili.com/1586426615?from=search
能“截原子弹、灭兴安岭火”的“气功大师”严新，当年上央视新闻,//www.bilibili.com/video/BV18p4y1i7pL?from=search,39.1万,835,2020-07-24,清凉历史频道,//space.bilibili.com/160282713?from=search
乱改央视新闻、解说词与画面完全相反…… BBC这样展示其“制造”新闻能力,//www.bilibili.com/video/BV1QK4y1N7Fi?from=search,43.9万,747,2021-04-07,央视网快看,//space.bilibili.com/451320374?from=search
央视新闻——“也许这就是这个老人能拿到中国绿卡的原因。”,//www.bilibili.com/video/BV1Yv41157jG?from=search,80.1万,7287,2021-05-11,汉字叔叔教识字,//space.bilibili.com/697174669?from=search
【央视】新闻联播历年片头（2020.7.25更新）,//www.bilibili.com/video/BV1nW411M7SJ?from=search,44.1万,748,2018-04-06,LL智造,//space.bilibili.com/1903951?from=search
央视新闻频道ID有蓝屏死亡,//www.bilibili.com/video/BV1tB4y1w7o6?from=search,7.7万,18,2021-04-04,决绝困了饿,//space.bilibili.com/491650797?from=search
【松重丰】叔上央视新闻啦！！！,//www.bilibili.com/video/BV1fo4y1C7qZ?from=search,43.6万,981,2021-06-13,沢月奈美,//space.bilibili.com/7678026?from=search
据央视新闻18日消息，塔里木盆地发现10亿吨级超深油气区,//www.bilibili.com/video/BV1u54y1H7Bi?from=search,4017,2,2021-06-18,寂照庵,//space.bilibili.com/1468726245?from=search
[央视新闻] 习近平，细微之处凸显“暖男”范儿,//www.bilibili.com/video/BV1Ux411t7yA?from=search,28.2万,406,2017-09-01,哔哩小红旗,//space.bilibili.com/86335477?from=search
2001.7.13北京申奥当天央视新闻联播片段（北京台转播）,//www.bilibili.com/video/BV1Z54y1n78W?from=search,2003,4,2021-07-13,雪乐火流星,//space.bilibili.com/401830817?from=search
央视《新闻联播》片头,//www.bilibili.com/video/BV1cE411c7Ki?from=search,13.6万,47,2020-03-23,时代寰星电台,//space.bilibili.com/22608342?from=search
【自制】【摸鱼】央视新闻频道直播失误集锦 02,//www.bilibili.com/video/BV1364y147Jk?from=search,1632,8,2021-07-09,Ben_en,//space.bilibili.com/166497928?from=search
对不起 我只是个沙雕 我们不可能的 陌霏的沙雕日常陌霏 央视新闻,//www.bilibili.com/video/BV13h411h7Wn?from=search,4998,0,2021-06-30,静心安娜,//space.bilibili.com/1670889738?from=search
SuperM线上演唱上了央视新闻!!!?! 我一定不是最后一个知道的，你满是真的厉害！！！,//www.bilibili.com/video/BV14Z4y1s7jP?from=search,10.9万,95,2020-05-02,好好生活的西珍妮,//space.bilibili.com/43716464?from=search
【汶川十年】央视在地震发生后的最早一批《突发新闻》（2008/05/12 16:00）,//www.bilibili.com/video/BV1fp411o7LQ?from=search,73.7万,1973,2018-05-13,Simon_007,//space.bilibili.com/13793618?from=search
【默哀】央视《新闻直播间》报告袁隆平去世,//www.bilibili.com/video/BV14o4y117G6?from=search,1.8万,27,2021-05-22,114514放送频道,//space.bilibili.com/514508650?from=search
为什么喜欢看新闻联播？你们要的初恋脸 央视记者 王冰冰,//www.bilibili.com/video/BV1cK411K7Z2?from=search,5.6万,18,2020-08-28,新冰连,//space.bilibili.com/88704756?from=search
【路同志考古】CCTV央视新闻调查 柴静采访张北川教授 首次关注同性恋群里,//www.bilibili.com/video/BV18Q4y1N7jZ?from=search,6.6万,108,2020-05-09,路同志-,//space.bilibili.com/520562285?from=search
勿忘历史！央视新闻发布2分15秒南京大屠杀真实影像,//www.bilibili.com/video/BV1uA411475V?from=search,18.0万,1270,2020-12-13,红星视频,//space.bilibili.com/526890129?from=search
【撒贝宁】20200823央视新闻·红旗H9发布会,//www.bilibili.com/video/BV1B64y1c7yd?from=search,4.1万,594,2020-08-23,鲜绿牛奶,//space.bilibili.com/1741231?from=search
乔布斯去世时的央视新闻报道,//www.bilibili.com/video/BV1cK4y1H7Mf?from=search,21.6万,605,2021-02-23,bili_1196953562,//space.bilibili.com/1196953562?from=search
央视新闻失误名场面第十二弹,//www.bilibili.com/video/BV1Dv411J7rq?from=search,109,1,2021-07-16,中央dance台,//space.bilibili.com/1561072803?from=search
【雷 迟 但 到】央视新闻联播报道小米并采访雷军,//www.bilibili.com/video/BV1fk4y1C796?from=search,24.3万,1372,2020-10-19,小米公司,//space.bilibili.com/23920239?from=search
〈央视新闻〉我是89岁UP主：敏慈不老，九十而已！,//www.bilibili.com/video/BV1Dh411R72J?from=search,20.4万,1323,2020-09-11,敏慈不老,//space.bilibili.com/550601912?from=search
2001年，美国911恐怖袭击发生后，当时央视新闻联播是如何报道的？,//www.bilibili.com/video/BV1YV411h7qm?from=search,6.4万,1,2020-12-22,清凉历史频道,//space.bilibili.com/160282713?from=search
央视《新闻联播》画面出现蔡依林（2009年8月26日）,//www.bilibili.com/video/BV1gx411V75C?from=search,15.1万,170,2017-09-30,蔡依林本质粉丝团,//space.bilibili.com/2059586?from=search
【杨洋】央视新闻 杨洋征兵视频,//www.bilibili.com/video/BV1Xe411p7fB?from=search,5.8万,88,2020-05-15,林动fafa,//space.bilibili.com/7152350?from=search
【朱一龙】20190205央视新闻朱一龙cut合集（新闻联播+共同关注）,//www.bilibili.com/video/BV1Hb411z7rr?from=search,3.6万,28,2019-02-05,朱一龙天涯粉丝团,//space.bilibili.com/20303408?from=search
澳广视转播央视新闻30分（2017/11/20 CCTV1）,//www.bilibili.com/video/BV18o4y1X7wZ?from=search,683,0,2021-07-10,fm948,//space.bilibili.com/1785495551?from=search
【央视新闻】“疯狂”的显卡 比特币等虚拟币不能作为货币在中国市场买卖,//www.bilibili.com/video/BV1LB4y1P7mg?from=search,10.3万,53,2021-03-27,三木电脑微课堂,//space.bilibili.com/700608201?from=search
【王一博】20210626央视新闻：王一博、周冬雨和清华大学老教师合唱团一起带来《年轻的朋友来相会》↓↓超好听！,//www.bilibili.com/video/BV1wV411x7jS?from=search,1822,12,2021-06-26,小王子王一博,//space.bilibili.com/470216001?from=search
【王冰冰】央视新闻频道清明特别节目 何岩柯连线总台央视记者王冰冰,//www.bilibili.com/video/BV1J5411A7FD?from=search,2.0万,49,2021-04-04,放送TV,//space.bilibili.com/95781568?from=search
从CCTV5到CCTV13！央视新闻频道聚焦巴托梅乌被逮捕,//www.bilibili.com/video/BV1Kf4y147Dt?from=search,1.8万,16,2021-03-04,一杯肥宅快乐水要加冰,//space.bilibili.com/7623608?from=search
央视《新闻联播》报道蔡依林参加中秋晚会（2012年9月30日）,//www.bilibili.com/video/BV1Tx411V76a?from=search,4.4万,88,2017-09-29,蔡依林本质粉丝团,//space.bilibili.com/2059586?from=search
王源“抽烟风波”后登央视《新闻联播》 宣扬正能量,//www.bilibili.com/video/BV1D4411P7ra?from=search,4.6万,83,2019-06-14,Timson别天神,//space.bilibili.com/44923641?from=search
[喜灰历史资料&放送]喜羊羊与灰太狼第一次上央视新闻联播(2009.1.21),//www.bilibili.com/video/BV1z54y1376w?from=search,3.5万,27,2021-06-01,小男孩小辉,//space.bilibili.com/520411805?from=search
【龚俊】210423央视新闻特别直播节目《夜读·一书一人生》龚俊cut,//www.bilibili.com/video/BV1xf4y1s7Tx?from=search,8326,51,2021-04-23,兰笺叙,//space.bilibili.com/651295910?from=search
央视20200630新闻联播 李梓萌的收稿大法,//www.bilibili.com/video/BV1Cp4y1U7co?from=search,14.8万,67,2020-07-01,喺喺喺12138,//space.bilibili.com/215351998?from=search
央视主播们 第一次 主持新闻联播  （20200924再解锁新主播）,//www.bilibili.com/video/BV1wZ4y1N7em?from=search,3.7万,129,2020-09-12,jkijki209,//space.bilibili.com/424099221?from=search
【央视】史上最短一期午夜新闻,//www.bilibili.com/video/BV18J411j7MS?from=search,19.4万,341,2020-01-03,寻望01,//space.bilibili.com/23823165?from=search
出圈了？央视新闻竟然用了玛利亚！！玛利亚变装为何这么火 华莎所有辛苦都值得了    《Maria》舞台超强丝滑踩点混剪,//www.bilibili.com/video/BV1qt4y1X73H?from=search,94.9万,1458,2020-07-18,ONElucky6_,//space.bilibili.com/327222405?from=search
20191016 央视新闻节目改版 正式启用N07,//www.bilibili.com/video/BV14E411C7yM?from=search,7.7万,55,2019-10-16,TOMVideos,//space.bilibili.com/93633785?from=search
央视新闻来到钟美美家里进行采访，美美现场为大家即兴模仿,//www.bilibili.com/video/BV1v64y1Q78L?from=search,5.1万,61,2021-07-03,精神病看神经科,//space.bilibili.com/2067348008?from=search
《流浪地球》等影片登上央视新闻,//www.bilibili.com/video/BV1bb411z79D?from=search,6.3万,326,2019-02-06,玄麟1664,//space.bilibili.com/226665052?from=search
震惊！央视新闻连线竟用QQ！,//www.bilibili.com/video/BV1f4411D7wi?from=search,20.5万,36,2019-08-11,CG放送,//space.bilibili.com/411619253?from=search
史上最碉堡的央视新闻直播失误集合,//www.bilibili.com/video/BV1ys411S7dB?from=search,11.8万,532,2015-03-15,manutd24,//space.bilibili.com/7751345?from=search
